model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
MpoolPE_2024,SBS,biomass_pred,2004,731.7079703979834,375.850816366339,1424.4921937912973,630.318321,0.6031892112584849,211.54365861171334,1878.1049188408995
MpoolPE_2024,SBS,biomass_pred,2005,668.1817018006092,326.1233032147962,1369.0122178331417,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2006,610.1707302413563,306.33502854188134,1215.363198310731,1180.221976,0.5213305172055993,451.4352897929772,3085.545025228578
MpoolPE_2024,SBS,biomass_pred,2007,437.8530536623139,200.40362480570334,956.6458530242966,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2008,314.19943156824155,136.27154694829719,724.4453079795298,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2009,225.46669932315504,95.61394525020324,531.6717385800994,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2010,161.7928850155701,69.05162188350089,379.0922925145105,14.981977,1.0000000315679716,2.9302005130021196,76.60214167342427
MpoolPE_2024,SBS,biomass_pred,2011,156.96199324842485,69.75287618423643,353.2050385914601,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2012,152.2753446305605,73.04006690237523,317.466584653442,561.878956,0.7123365607947387,160.0813834088151,1972.1716196654572
MpoolPE_2024,SBS,biomass_pred,2013,111.7131262641801,50.77181106418743,245.80219452757427,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2014,81.95563510293998,36.54269441317762,183.8048954240259,28.147903,0.7073247565455597,8.077861309762,98.08344225221082
MpoolPE_2024,SBS,biomass_pred,2015,75.77963468897072,32.092311857666296,178.93858999821651,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2016,70.06904438457401,29.715558510411764,165.22223465014628,74.405686,0.999999998994745,14.552391026015389,380.43274807785804
MpoolPE_2024,SBS,biomass_pred,2017,64.2976143899771,25.671474519279315,161.04190716187387,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2018,59.00156413653541,23.156616880816035,150.33217453459994,13.31165,0.9999999951396734,2.603515232431141,68.06183559641863
MpoolPE_2024,SBS,biomass_pred,2019,65.38492730582357,25.082675628418666,170.44388653433938,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2020,72.45890479944943,27.809841602871405,188.792620961695,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2021,80.29821399324334,31.562023630814107,204.28991644913697,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2022,88.98565591559544,36.73598610392309,215.5501402991636,127.165045,0.5974894164574852,43.0593055273406,375.55061494394647
MpoolPE_2024,SBS,biomass_pred,2023,88.98565591559544,30.8796851951254,256.42900530536286,NA,NA,NA,NA
MpoolPE_2024,SBS,biomass_pred,2024,88.98565591559544,26.606775525015475,297.6101689317402,NA,NA,NA,NA
